18:11:14 INFO  manager.ApplicationManager -%PARSER_ERROR[kvp]- Testts starts on Chrome Driver
18:12:48 INFO  tests.TestBase -%PARSER_ERROR[kvp]- Test  registration Positive starts with >>alisa768gmail.com&&&212229Alisa&
18:13:02 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact before 4
18:13:02 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- The element that was deleted had pone number---->01010101676
18:13:04 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact after 3
18:13:04 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact before 3
18:13:04 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- The element that was deleted had pone number---->01010101696
18:13:06 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact after 2
18:13:06 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact before 2
18:13:06 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- The element that was deleted had pone number---->01010101715
18:13:07 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact after 1
18:13:07 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact before 1
18:13:08 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- The element that was deleted had pone number---->01010101733
18:13:24 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact after 0
18:14:09 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact before 0
18:14:39 INFO  manager.HelperBase -%PARSER_ERROR[kvp]- Count of contact after 0
18:14:39 INFO  manager.ApplicationManager -%PARSER_ERROR[kvp]- Tests Passed
